sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
29,arcade,1341,arcade,4,8000,1341,64,promising,6,2,31788.500,3.000,6.750,0.000,3.250,0.679503,0.058955,0.350000,1.750000,1.000000,42000.000,0.620000,18.750,13.500,0.000,11.353,5.645,5.895,5.000,4.083
30,arcade,1342,arcade,4,8000,1342,38,needs tuning,4,0,19251.000,1.750,2.750,0.000,0.250,0.672637,0.053354,0.100000,0.500000,0.400000,42000.000,0.620000,10.938,5.500,0.000,6.875,1.613,5.335,5.000,2.917
31,arcade,1343,arcade,4,8000,1343,24,weak fun signal,1,1,8561.500,0.750,0.750,0.000,1.000,0.692045,0.055637,0.000000,0.000000,0.000000,42000.000,0.620000,4.688,1.500,0.000,3.058,0.000,5.564,5.000,4.667
32,arcade,1344,arcade,4,8000,1344,33,weak fun signal,3,1,14352.000,1.250,2.000,0.000,1.250,0.676580,0.052757,0.050000,0.250000,0.200000,42000.000,0.620000,7.812,4.000,0.000,5.126,0.806,5.276,5.000,5.250
33,arcade,1345,arcade,4,8000,1345,52,needs tuning,5,0,27384.000,2.500,4.500,0.000,0.750,0.691843,0.055617,0.200000,1.000000,0.600000,42000.000,0.620000,15.625,9.000,0.000,9.780,3.226,5.562,5.000,4.083
34,arcade,1346,arcade,4,8000,1346,25,weak fun signal,1,1,8415.500,0.750,0.750,0.000,1.250,0.683296,0.053323,0.000000,0.000000,0.000000,42000.000,0.620000,4.688,1.500,0.000,3.006,0.000,5.332,5.000,5.250
35,arcade,1347,arcade,4,8000,1347,32,weak fun signal,3,1,14004.500,1.250,1.750,0.000,1.000,0.683834,0.055794,0.050000,0.250000,0.200000,42000.000,0.620000,7.812,3.500,0.000,5.002,0.806,5.579,5.000,4.667
36,arcade,1348,arcade,4,8000,1348,35,needs tuning,2,1,17677.500,1.500,2.250,0.000,1.000,0.671171,0.049896,0.000000,0.000000,0.000000,42000.000,0.620000,9.375,4.500,0.000,6.313,0.000,4.990,5.000,4.667
37,casual,1337,casual,4,8000,1337,35,needs tuning,2,0,9405.500,1.000,1.250,0.000,0.500,0.479109,0.051133,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.613,0.000,5.113,9.000,10.625
38,casual,1338,casual,4,8000,1338,45,needs tuning,4,0,18275.000,1.750,2.750,0.000,0.500,0.477584,0.052886,0.100000,0.500000,0.400000,36000.000,0.460000,9.625,3.850,0.000,5.076,1.739,5.289,9.000,10.625
39,casual,1339,casual,4,8000,1339,39,needs tuning,2,1,10365.500,1.000,1.250,0.000,1.000,0.470746,0.052778,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.879,0.000,5.278,9.000,14.167
40,casual,1340,casual,4,8000,1340,45,needs tuning,3,0,18610.000,2.000,3.000,0.000,0.250,0.474642,0.052464,0.100000,0.500000,0.400000,36000.000,0.460000,11.000,4.200,0.000,5.169,1.739,5.246,9.000,8.854
41,casual,1341,casual,4,8000,1341,59,promising,4,0,19825.000,2.250,4.000,0.250,1.250,0.490999,0.073187,0.200000,1.000000,0.800000,36000.000,0.460000,12.375,5.600,0.875,5.507,3.478,6.000,9.000,15.938
42,casual,1342,casual,4,8000,1342,44,needs tuning,4,0,16961.000,1.500,2.500,0.000,0.500,0.533853,0.109969,0.100000,0.500000,0.400000,36000.000,0.460000,8.250,3.500,0.000,4.711,1.739,6.000,9.000,10.625
43,casual,1343,casual,4,8000,1343,43,needs tuning,4,0,12387.500,1.250,2.500,0.000,0.750,0.487150,0.080257,0.100000,0.500000,0.400000,36000.000,0.460000,6.875,3.500,0.000,3.441,1.739,6.000,9.000,12.396
44,casual,1344,casual,4,8000,1344,66,promising,5,0,30689.500,3.250,7.000,0.000,2.500,0.481753,0.063082,0.300000,1.500000,0.600000,36000.000,0.460000,17.875,9.800,0.000,8.525,5.217,6.000,9.000,9.208
45,casual,1345,casual,4,8000,1345,37,needs tuning,2,0,13621.500,1.250,1.750,0.000,0.250,0.517943,0.104484,0.000000,0.000000,0.000000,36000.000,0.460000,6.875,2.450,0.000,3.784,0.000,6.000,9.000,8.854
46,casual,1346,casual,4,8000,1346,31,weak fun signal,1,0,8786.500,0.750,0.750,0.000,0.250,0.531389,0.112089,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.441,0.000,6.000,9.000,8.854
47,casual,1347,casual,4,8000,1347,50,needs tuning,4,1,20417.000,2.000,3.500,0.000,2.000,0.469126,0.051258,0.100000,0.500000,0.400000,36000.000,0.460000,11.000,4.900,0.000,5.671,1.739,5.126,9.000,12.750
48,casual,1348,casual,4,8000,1348,31,weak fun signal,1,0,8209.000,0.750,0.750,0.000,0.250,0.527067,0.112990,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.280,0.000,6.000,9.000,8.854
49,casual,1337,casual,4,8000,1337,35,needs tuning,2,0,9405.500,1.000,1.250,0.000,0.500,0.479109,0.051133,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.613,0.000,5.113,9.000,10.625
50,casual,1338,casual,4,8000,1338,45,needs tuning,4,0,18275.000,1.750,2.750,0.000,0.500,0.477584,0.052886,0.100000,0.500000,0.400000,36000.000,0.460000,9.625,3.850,0.000,5.076,1.739,5.289,9.000,10.625
51,casual,1339,casual,4,8000,1339,39,needs tuning,2,1,10365.500,1.000,1.250,0.000,1.000,0.470746,0.052778,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.879,0.000,5.278,9.000,14.167
52,casual,1340,casual,4,8000,1340,45,needs tuning,3,0,18610.000,2.000,3.000,0.000,0.250,0.474642,0.052464,0.100000,0.500000,0.400000,36000.000,0.460000,11.000,4.200,0.000,5.169,1.739,5.246,9.000,8.854
53,casual,1341,casual,4,8000,1341,59,promising,4,0,19825.000,2.250,4.000,0.250,1.250,0.490999,0.073187,0.200000,1.000000,0.800000,36000.000,0.460000,12.375,5.600,0.875,5.507,3.478,6.000,9.000,15.938
54,casual,1342,casual,4,8000,1342,44,needs tuning,4,0,16961.000,1.500,2.500,0.000,0.500,0.533853,0.109969,0.100000,0.500000,0.400000,36000.000,0.460000,8.250,3.500,0.000,4.711,1.739,6.000,9.000,10.625
55,casual,1343,casual,4,8000,1343,43,needs tuning,4,0,12387.500,1.250,2.500,0.000,0.750,0.487150,0.080257,0.100000,0.500000,0.400000,36000.000,0.460000,6.875,3.500,0.000,3.441,1.739,6.000,9.000,12.396
56,casual,1344,casual,4,8000,1344,66,promising,5,0,30689.500,3.250,7.000,0.000,2.500,0.481753,0.063082,0.300000,1.500000,0.600000,36000.000,0.460000,17.875,9.800,0.000,8.525,5.217,6.000,9.000,9.208
57,casual,1345,casual,4,8000,1345,37,needs tuning,2,0,13621.500,1.250,1.750,0.000,0.250,0.517943,0.104484,0.000000,0.000000,0.000000,36000.000,0.460000,6.875,2.450,0.000,3.784,0.000,6.000,9.000,8.854
58,casual,1346,casual,4,8000,1346,31,weak fun signal,1,0,8786.500,0.750,0.750,0.000,0.250,0.531389,0.112089,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.441,0.000,6.000,9.000,8.854
59,casual,1347,casual,4,8000,1347,50,needs tuning,4,1,20417.000,2.000,3.500,0.000,2.000,0.469126,0.051258,0.100000,0.500000,0.400000,36000.000,0.460000,11.000,4.900,0.000,5.671,1.739,5.126,9.000,12.750
60,casual,1348,casual,4,8000,1348,31,weak fun signal,1,0,8209.000,0.750,0.750,0.000,0.250,0.527067,0.112990,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.280,0.000,6.000,9.000,8.854
61,casual,1337,casual,4,8000,1337,35,needs tuning,2,0,9405.500,1.000,1.250,0.000,0.500,0.479109,0.051133,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.613,0.000,5.113,9.000,10.625
62,casual,1338,casual,4,8000,1338,45,needs tuning,4,0,18275.000,1.750,2.750,0.000,0.500,0.477584,0.052886,0.100000,0.500000,0.400000,36000.000,0.460000,9.625,3.850,0.000,5.076,1.739,5.289,9.000,10.625
63,casual,1339,casual,4,8000,1339,39,needs tuning,2,1,10365.500,1.000,1.250,0.000,1.000,0.470746,0.052778,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.879,0.000,5.278,9.000,14.167
